marker,before_missing,after_missing,connected
RBHD,293,286,7
LBHD,359,328,31
C7,289,268,21
LELA,540,420,120
RSHO,136,128,8
RELA,503,502,1
RASIS,502,428,74
LMEP,284,251,33
RMEP,128,96,32
