marker,before_missing,after_missing,connected_or_filled
RBHD,286,285,1
LBHD,328,282,46
C7,268,160,108
T10,24,19,5
LELA,420,113,307
RSHO,128,38,90
RELA,502,500,2
RWRB,87,65,22
RWRA,82,64,18
RASIS,428,356,72
LMEP,251,165,86
RMEP,96,50,46
