marker,before_missing,after_missing,connected_or_filled
RBHD,286,285,1
LBHD,328,293,35
C7,268,204,64
T10,24,21,3
LELA,420,254,166
RSHO,128,83,45
RELA,502,500,2
RWRB,87,74,13
RWRA,82,71,11
RASIS,428,380,48
LMEP,251,209,42
RMEP,96,70,26
