marker,before_missing,after_missing,connected
RBHD,301,301,0
LBHD,359,359,0
CLAV,111,111,0
C7,290,290,0
T10,24,24,0
LSHO,22,22,0
LELA,541,541,0
LFIN,580,397,183
LWRA,1,1,0
RSHO,242,242,0
RUP,12,12,0
RELA,511,511,0
RWRB,87,87,0
RFIN,35,31,4
RWRA,83,83,0
RASIS,508,508,0
LTROC,39,39,0
LMEP,442,442,0
LLEP,3,3,0
LSK,65,65,0
LMME,1,1,0
RTROC,40,40,0
RMEP,466,466,0
