frame,marker,raw,score,pred_dist,seg_error,support,margin,direction
2309,LFIN,*59,4.580939047437155,8.071062319885742,6.078483376822438,3,999.0,forward_strong
2310,LFIN,*52,9.655516018699728,14.395195876046094,5.18594295903831,3,999.0,forward_strong
2311,LFIN,*52,1.2855167766199802,8.823091400657187,3.187446697116281,3,999.0,forward_strong
2312,LFIN,*52,4.679950084337015,10.075665289333273,4.717346282145532,3,999.0,forward_strong
2313,LFIN,*52,5.395650975887598,6.7711292594039305,7.58894408320262,3,999.0,forward_strong
2314,LFIN,*52,2.5300596527343853,10.644017747700577,2.7757442178812917,3,999.0,forward_strong
2315,LFIN,*52,0.6844966841933715,8.254562857366219,3.1642384477336805,3,999.0,forward_strong
2316,LFIN,*52,7.631560571978532,8.147008456024903,8.20325151139545,3,999.0,forward_strong
2317,LFIN,*52,7.663889782599984,8.470547698188993,7.995244346007851,3,999.0,forward_strong
2318,LFIN,*52,1.2161841866712155,2.321319416236458,7.782046264596256,3,999.0,forward_strong
2319,LFIN,*59,-0.35176882659055586,8.475756252651415,2.2660535148271634,3,999.0,forward_strong
2320,LFIN,*52,5.478115702054723,11.271404882800825,4.43336487089564,3,999.0,forward_strong
2321,LFIN,*52,4.119921935858944,4.214464669508348,8.503898047393283,3,999.0,forward_strong
2322,LFIN,*52,9.55572595056195,13.921340104733137,5.45313274702058,3,999.0,forward_strong
2323,LFIN,*52,1.0768964867096997,8.74324460622569,3.095465628917149,3,999.0,forward_strong
2324,LFIN,*52,0.20348521117402285,6.420732739199752,4.130537479981622,3,999.0,forward_strong
2325,LFIN,*52,-2.0067940634433246,6.4503945585003635,2.530579555754509,3,999.0,forward_strong
2326,LFIN,*52,10.76156757928603,9.316716364244112,9.603465153601372,3,999.0,forward_strong
2327,LFIN,*52,10.759488579065625,8.608618346525002,10.107764451814731,3,999.0,forward_strong
2328,LFIN,*52,5.210772418232175,2.972991498372022,10.169843514185823,3,999.0,forward_strong
2329,LFIN,*52,4.602726747486308,7.705552797539359,6.355124249962107,3,999.0,forward_strong
2330,LFIN,*52,4.940021152787036,6.701377759031635,7.313316709825287,3,999.0,forward_strong
2331,LFIN,*52,-0.32951250906371854,1.9120708652627945,6.970297589766777,3,999.0,forward_strong
2332,LFIN,*52,0.620168830425964,1.970710654207129,7.6067558401563105,3,999.0,forward_strong
2333,LFIN,*52,0.5690085491602801,1.202045503885102,8.119259318053698,3,999.0,forward_strong
2334,LFIN,*52,0.12314590594411357,0.11689414245975822,8.57589411677454,3,999.0,forward_strong
2335,LFIN,*52,1.2424444846930491,1.0869006296025672,8.68253132506463,3,999.0,forward_strong
2336,LFIN,*52,2.052300916720192,1.2319700743708972,9.157379173106639,3,999.0,forward_strong
2337,LFIN,*52,9.299453294604735,4.040910959566408,12.327530239313091,3,999.0,forward_strong
2338,LFIN,*52,9.623737853961824,11.045521962024628,7.555868494240855,3,999.0,forward_strong
2339,LFIN,*52,13.632328079800104,11.058714641454637,10.409723884532477,3,999.0,forward_strong
2340,LFIN,*52,7.100222042763313,4.758607869370188,10.244010123852235,3,999.0,forward_strong
2341,LFIN,*52,2.0522575724723175,7.154207556646308,4.927178582732864,3,999.0,forward_strong
2342,LFIN,*52,12.341486371919295,11.394800684094143,9.247632634160823,3,999.0,forward_strong
2343,LFIN,*52,6.775982064056343,2.9527345691385274,11.302319639227013,3,999.0,forward_strong
2344,LFIN,*52,7.1092907361221975,5.332045070312391,9.84088976129272,3,999.0,forward_strong
2345,LFIN,*52,8.260409243978877,5.230161761223362,10.735891059111083,3,999.0,forward_strong
2346,LFIN,*52,10.180242126836504,7.51138076196425,10.477758117765896,3,999.0,forward_strong
2347,LFIN,*52,1.6383144938223282,4.445943973692498,6.5659789429498785,3,999.0,forward_strong
2348,LFIN,*52,16.73338699377271,11.569860599307782,12.259661710332091,3,999.0,forward_strong
2349,LFIN,*56,12.495132274951136,7.402817246499868,12.208796448893764,3,999.0,forward_strong
2350,LFIN,*56,4.764872395273869,5.716131385411677,7.8919578641872805,3,999.0,forward_strong
2351,LFIN,*56,14.819454040356625,9.723943206793946,12.211079166830487,3,999.0,forward_strong
2352,LFIN,*56,13.978600273690322,7.9037839647387935,12.910583077822523,3,999.0,forward_strong
2353,LFIN,*56,13.695027009901779,7.694614934529134,12.857437196694747,3,999.0,forward_strong
2354,LFIN,*56,12.079191062507324,5.332770640688445,13.3903003012992,3,999.0,forward_strong
2355,LFIN,*56,8.956278527175499,2.299737156040492,13.326100979382147,3,999.0,forward_strong
2356,LFIN,*56,8.687924677029145,1.126875235462455,13.972178172547638,3,999.0,forward_strong
2357,LFIN,*56,8.088959786182564,0.22006196596123626,14.192069871586662,3,999.0,forward_strong
2358,LFIN,*56,12.616785503785387,4.551667139901259,14.332227402774379,3,999.0,forward_strong
2359,LFIN,*56,10.56235806443091,5.809344858696395,11.966438004096082,3,999.0,forward_strong
2360,LFIN,*56,13.813267752480535,6.335027423853651,13.91302880616206,3,999.0,forward_strong
2361,LFIN,*56,11.526179511968095,3.068330991002185,14.61274894354708,3,999.0,forward_strong
2362,LFIN,*56,12.560072237865004,4.724793144601086,14.168056495188514,3,999.0,forward_strong
2363,LFIN,*56,16.250122284663302,7.535492150749731,14.796164381366836,3,999.0,forward_strong
2364,LFIN,*53,14.260954791526316,9.341278881175217,12.085482793107929,3,999.0,forward_strong
2365,LFIN,*56,24.056558208405278,14.094863945661494,15.686924473388421,3,999.0,forward_strong
2366,LFIN,*56,16.95810500281867,8.0978849378352,14.900157189273907,3,999.0,forward_strong
2367,LFIN,*56,10.131890758332876,4.280698694223361,12.750851474363941,3,999.0,forward_strong
2368,LFIN,*56,10.986493384008721,9.062726340069975,9.945547888527676,3,999.0,forward_strong
2369,LFIN,*56,15.967422373218483,9.65545959878927,13.079973410306584,3,999.0,forward_strong
2370,LFIN,*56,10.261877631716214,1.6864706113573478,14.696719300256333,3,999.0,forward_strong
2371,LFIN,*56,16.301637151974276,4.251851321813308,17.17841845011498,3,999.0,forward_strong
2372,LFIN,*56,20.494709996145872,10.215294830661623,15.913867975345894,3,999.0,forward_strong
2373,LFIN,*56,14.030095516003378,3.761435158390763,15.906185969723296,3,999.0,forward_strong
2374,LFIN,*56,12.048184794974482,1.6496953583914473,15.99892102613074,3,999.0,forward_strong
2375,LFIN,*56,9.939036146606657,4.251801236209001,12.633739221712611,3,999.0,forward_strong
2376,LFIN,*56,16.901557384354394,7.197965979953491,15.50256528885779,3,999.0,forward_strong
2377,LFIN,*56,14.446208924464262,5.142892233475386,15.21665477927777,3,999.0,forward_strong
2378,LFIN,*56,19.41538875566706,6.017657658931373,18.14123649766835,3,999.0,forward_strong
2379,LFIN,*56,23.796951326553156,13.627552665415985,15.835284757955122,3,999.0,forward_strong
2380,LFIN,*56,30.700278059817627,14.502474379870858,20.141288342819124,3,999.0000000000001,forward_strong
2381,LFIN,*56,21.386341839864258,10.820916598676078,16.118160886562986,3,999.0,forward_strong
2382,LFIN,*56,20.570155900891187,8.559985851770604,17.15012146365756,3,999.0,forward_strong
2383,LFIN,*56,16.19849753967078,3.6771611249898526,17.515240296200663,3,999.0,forward_strong
2384,LFIN,*56,13.654457431598175,3.1047179079994205,16.10695680257054,3,999.0,forward_strong
2385,LFIN,*56,22.274733276805676,7.110104949097402,19.40330594836305,3,999.0,forward_strong
2386,LFIN,*56,18.27055976761592,7.823370659093344,16.033706506087558,3,999.0,forward_strong
2387,LFIN,*56,16.460539041060592,5.007466549765059,16.75219463663967,3,999.0,forward_strong
2388,LFIN,*56,17.447609063166375,4.174873347944751,18.05195408230116,3,999.0,forward_strong
2389,LFIN,*56,18.342174462529275,5.794631795498173,17.53395904787936,3,999.0,forward_strong
2390,LFIN,*56,16.15345259223715,4.7739790931706585,16.69962392790464,3,999.0,forward_strong
2391,LFIN,*56,15.0998407110431,3.549756123270929,16.821488991265838,3,999.0,forward_strong
2392,LFIN,*56,12.598547103438747,1.2535940610781477,16.674966458829,3,999.0,forward_strong
2393,LFIN,*56,13.432362468843522,1.4702831051023502,17.115770974100837,3,999.0,forward_strong
2394,LFIN,*56,12.559551866315537,1.114988551948778,16.746116653119117,3,999.0,forward_strong
2395,LFIN,*56,11.275851561725815,0.4337589002693118,16.315780472468933,3,999.0,forward_strong
2396,LFIN,*56,20.492642321032285,4.836934937606896,19.754076702446707,3,999.0,forward_strong
2397,LFIN,*56,20.043566233603933,7.61661825758558,17.447819982870254,3,999.0,forward_strong
2398,LFIN,*56,15.272391349644423,3.9317022617081494,16.671920777097338,3,999.0,forward_strong
2399,LFIN,*56,13.481623165005065,1.7188684186997552,16.973396247360935,3,999.0,forward_strong
