frame,marker,raw,anchor_frame,distance,second_distance,candidate_count,search_offset,radius_limit,support,mean_error,details,method
2517,LMEP,*54,2518,10.519643838045244,,1,0,60.0,3,7.222732521767853,LTROC:414.3/420.2/err6.0;LTH:288.8/300.1/err11.4;LLEP:121.4/125.8/err4.4,reverse_current_first_grey_connect
2516,LMEP,*54,2517,9.834393553060332,,1,0,60.0,3,7.800351221135173,LTROC:413.1/420.2/err7.2;LTH:288.1/300.1/err12.1;LLEP:121.6/125.8/err4.2,reverse_current_first_grey_connect
2515,LMEP,*54,2516,9.182404916596482,,1,0,60.0,3,8.37679919215961,LTROC:411.9/420.2/err8.4;LTH:287.4/300.1/err12.7;LLEP:121.7/125.8/err4.0,reverse_current_first_grey_connect
2514,LMEP,*54,2515,8.534233556465129,,1,0,60.0,3,8.913947940081806,LTROC:410.7/420.2/err9.6;LTH:286.8/300.1/err13.3;LLEP:121.9/125.8/err3.8,reverse_current_first_grey_connect
2513,LMEP,*54,2514,7.974234297291599,,1,0,60.0,3,9.495064161684667,LTROC:409.4/420.2/err10.9;LTH:286.2/300.1/err13.9;LLEP:122.0/125.8/err3.7,reverse_current_first_grey_connect
2512,LMEP,*54,2513,7.441282505258209,,1,0,60.0,3,10.027831450853029,LTROC:408.2/420.2/err12.1;LTH:285.7/300.1/err14.5;LLEP:122.2/125.8/err3.6,reverse_current_first_grey_connect
2511,LMEP,*54,2512,6.96978366054268,,1,0,60.0,3,10.560881368980782,LTROC:406.9/420.2/err13.3;LTH:285.0/300.1/err15.1;LLEP:122.4/125.8/err3.3,reverse_current_first_grey_connect
2510,LMEP,*54,2511,6.587811022688274,,1,0,60.0,3,11.062417402531736,LTROC:405.8/420.2/err14.4;LTH:284.5/300.1/err15.6;LLEP:122.6/125.8/err3.1,reverse_current_first_grey_connect
2509,LMEP,*54,2510,6.222884931762699,,1,0,60.0,3,11.557753323481933,LTROC:404.6/420.2/err15.6;LTH:283.9/300.1/err16.2;LLEP:122.9/125.8/err2.8,reverse_current_first_grey_connect
2508,LMEP,*54,2509,6.116677338805477,,1,0,60.0,3,11.84112193462874,LTROC:403.6/420.2/err16.6;LTH:283.6/300.1/err16.5;LLEP:123.4/125.8/err2.4,reverse_current_first_grey_connect
2507,LMEP,*54,2508,5.380750567281341,,1,0,60.0,3,11.9544810154292,LTROC:402.3/420.2/err17.9;LTH:282.8/300.1/err17.3;LLEP:126.4/125.8/err0.6,reverse_current_first_grey_connect
2506,LMEP,*54,2507,5.2783153686535575,,1,0,60.0,3,12.60085009379299,LTROC:401.1/420.2/err19.1;LTH:282.2/300.1/err17.9;LLEP:124.9/125.8/err0.8,reverse_current_first_grey_connect
2505,LMEP,*54,2506,5.015456812978692,,1,0,60.0,3,13.47347976855688,LTROC:400.0/420.2/err20.2;LTH:281.6/300.1/err18.5;LLEP:124.0/125.8/err1.7,reverse_current_first_grey_connect
2504,LMEP,*54,2505,4.7684526824707225,,1,0,60.0,3,13.918918158613858,LTROC:399.0/420.2/err21.2;LTH:281.1/300.1/err19.0;LLEP:124.3/125.8/err1.5,reverse_current_first_grey_connect
2503,LMEP,*54,2504,4.504790209756597,,1,0,60.0,3,14.3263659875356,LTROC:398.0/420.2/err22.2;LTH:280.5/300.1/err19.6;LLEP:124.6/125.8/err1.2,reverse_current_first_grey_connect
2502,LMEP,*54,2503,4.2922050261914295,,1,0,60.0,3,14.733056769620745,LTROC:397.2/420.2/err23.0;LTH:279.9/300.1/err20.3;LLEP:124.8/125.8/err0.9,reverse_current_first_grey_connect
2499,LMEP,*58,2502,11.591555182869122,,1,2,60.0,3,15.850571211064178,LTROC:394.7/420.2/err25.5;LTH:278.1/300.1/err22.0;LLEP:125.7/125.8/err0.0,reverse_current_first_grey_connect
2496,LMEP,*61,2499,10.318925168938051,,1,2,60.0,3,17.415148279484715,LTROC:392.8/420.2/err27.4;LTH:276.7/300.1/err23.4;LLEP:127.2/125.8/err1.4,reverse_current_first_grey_connect
2495,LMEP,*61,2496,3.402203644319103,,1,0,60.0,3,19.195788908261346,LTROC:391.5/420.2/err28.7;LTH:275.3/300.1/err24.8;LLEP:129.8/125.8/err4.0,reverse_current_first_grey_connect
2494,LMEP,*61,2495,3.6963531449531613,,1,0,60.0,3,19.3602901685357,LTROC:391.0/420.2/err29.3;LTH:275.0/300.1/err25.1;LLEP:129.4/125.8/err3.7,reverse_current_first_grey_connect
2493,LMEP,*61,2494,3.1724463059383803,,1,0,60.0,3,19.62208016760613,LTROC:390.5/420.2/err29.7;LTH:274.7/300.1/err25.4;LLEP:129.5/125.8/err3.7,reverse_current_first_grey_connect
2492,LMEP,*61,2493,2.653609104782837,,1,0,60.0,3,19.89735469275711,LTROC:390.2/420.2/err30.1;LTH:274.5/300.1/err25.6;LLEP:129.8/125.8/err4.0,reverse_current_first_grey_connect
2491,LMEP,*61,2492,2.399200954774675,,1,0,60.0,3,20.248927737158187,LTROC:389.7/420.2/err30.5;LTH:274.3/300.1/err25.9;LLEP:130.2/125.8/err4.4,reverse_current_first_grey_connect
2490,LMEP,*61,2491,2.1456853936902416,,1,0,60.0,3,20.62713361388389,LTROC:389.3/420.2/err30.9;LTH:274.0/300.1/err26.1;LLEP:130.6/125.8/err4.8,reverse_current_first_grey_connect
2489,LMEP,*61,2490,1.9296367407891206,,1,0,60.0,3,20.965365488420293,LTROC:388.9/420.2/err31.4;LTH:273.7/300.1/err26.4;LLEP:130.9/125.8/err5.1,reverse_current_first_grey_connect
2488,LMEP,*61,2489,1.7746797594086863,,1,0,60.0,3,21.238571818838135,LTROC:388.5/420.2/err31.7;LTH:273.5/300.1/err26.6;LLEP:131.2/125.8/err5.4,reverse_current_first_grey_connect
2487,LMEP,*61,2488,2.4910063236301485,,1,0,60.0,3,20.877894800299106,LTROC:388.8/420.2/err31.4;LTH:274.0/300.1/err26.1;LLEP:130.9/125.8/err5.1,reverse_current_first_grey_connect
2482,LMEP,*52,2487,5.047557012134443,,1,4,60.0,3,23.641238754772065,LTROC:384.9/420.2/err35.3;LTH:271.1/300.1/err29.0;LLEP:132.4/125.8/err6.6,reverse_current_first_grey_connect
2481,LMEP,*52,2482,1.4341655597651015,,1,0,60.0,3,23.98051857457682,LTROC:384.7/420.2/err35.5;LTH:271.2/300.1/err28.9;LLEP:133.3/125.8/err7.5,reverse_current_first_grey_connect
2480,LMEP,*52,2481,1.8508505557177475,,1,0,60.0,3,23.79027145721368,LTROC:384.3/420.2/err35.9;LTH:271.0/300.1/err29.1;LLEP:132.1/125.8/err6.3,reverse_current_first_grey_connect
2479,LMEP,*52,2480,1.4085119933354233,,1,0,60.0,3,23.548903154284194,LTROC:384.6/420.2/err35.6;LTH:271.4/300.1/err28.7;LLEP:132.1/125.8/err6.3,reverse_current_first_grey_connect
2478,LMEP,*52,2479,1.717662717168885,,1,0,60.0,3,24.10830358073852,LTROC:384.2/420.2/err36.0;LTH:271.3/300.1/err28.8;LLEP:133.2/125.8/err7.5,reverse_current_first_grey_connect
2477,LMEP,*52,2478,0.7108857652568866,,1,0,60.0,3,24.283975346237828,LTROC:384.0/420.2/err36.2;LTH:271.2/300.1/err28.9;LLEP:133.5/125.8/err7.7,reverse_current_first_grey_connect
2476,LMEP,*52,2477,0.5544635724087466,,1,0,60.0,3,24.4597006047391,LTROC:383.7/420.2/err36.5;LTH:271.1/300.1/err29.0;LLEP:133.6/125.8/err7.8,reverse_current_first_grey_connect
2475,LMEP,*52,2476,0.5111738511079671,,1,0,60.0,3,24.567920315330287,LTROC:383.5/420.2/err36.7;LTH:271.0/300.1/err29.2;LLEP:133.6/125.8/err7.8,reverse_current_first_grey_connect
2474,LMEP,*52,2475,0.5186098895194403,,1,0,60.0,3,24.708415381881917,LTROC:383.3/420.2/err36.9;LTH:270.8/300.1/err29.3;LLEP:133.6/125.8/err7.9,reverse_current_first_grey_connect
2473,LMEP,*52,2474,0.6314142027347507,,1,0,60.0,3,24.793479117624468,LTROC:383.1/420.2/err37.1;LTH:270.8/300.1/err29.4;LLEP:133.7/125.8/err7.9,reverse_current_first_grey_connect
2471,LMEP,*59,2473,2.1022318052639246,,1,1,60.0,3,24.813440435746788,LTROC:383.4/420.2/err36.8;LTH:271.3/300.1/err28.8;LLEP:134.5/125.8/err8.8,reverse_current_first_grey_connect
2470,LMEP,*59,2471,0.6980842653498064,,1,0,60.0,3,24.84284799359341,LTROC:383.4/420.2/err36.8;LTH:271.3/300.1/err28.8;LLEP:134.6/125.8/err8.9,reverse_current_first_grey_connect
2469,LMEP,*59,2470,1.7214035404132675,,1,0,60.0,3,24.96993746355427,LTROC:383.1/420.2/err37.2;LTH:270.9/300.1/err29.2;LLEP:134.3/125.8/err8.5,reverse_current_first_grey_connect
2468,LMEP,*59,2469,0.7639990877915428,,1,0,60.0,3,24.904036815108714,LTROC:383.2/420.2/err37.0;LTH:271.1/300.1/err29.0;LLEP:134.4/125.8/err8.7,reverse_current_first_grey_connect
