marker,raw,start,end,segment_len,left_frame,right_frame,left_jump,right_jump,max_step,max_pred,max_report_segerr,max_model_err,min_support,reason
CLAV,*52,2842,2875,34,2765,2877,124.46535080481789,5.497568294046655,6.768301680171418,12.57861914822815,5.8006803711661235,5.8006803711661235,3,failed_long_segment_audit
CLAV,*59,2767,2799,33,2765,2877,4.296941791795588,113.04209713926242,4.865295842003334,8.231986507033245,5.145372426055417,5.145372426055417,3,failed_long_segment_audit
RSHO,*65,2619,2808,190,2567,2810,161.17556002156078,2.3888404395653757,16.107881467998862,8.814432652794862,17.416867733023622,17.416867733023622,2,failed_long_segment_audit
